County,Barbati_25-34,Barbati_35-44,Barbati_45-64,Barbati_65_,Femei_18-24,Femei_35-44,Femei_45-64,Femei_65_
ab,0.7330096153846153,0.6339397435897436,1.9720822435897436,1.9677360897435898,8.05110982051282,1.670384978205128,0.5903390057692308,2.424557692307692
ag,0.9507794117647059,0.9507794117647059,3.1692647058823527,3.1692647058823527,12.67705882352941,0.6338529411764706,0.9507794117647059,3.1692647058823527
ar,0.9122057692307692,0.9122057692307692,3.0406858974358975,3.0406858974358975,12.16274358974359,0.6081371794871795,0.9122057692307692,3.0406858974358975
b,316.10985,316.10985,1053.6995,1053.6995,4214.798,210.7399,316.10985,1053.6995
bc,1.20595,1.20595,4.019833333333333,4.019833333333333,16.07933333333333,0.8039666666666667,1.20595,4.019833333333333
bh,0.9200123762376238,0.9200123762376238,3.066707920792079,3.066707920792079,12.266831683168316,0.6133415841584158,0.9200123762376238,3.066707920792079
bn,0.7971532258064515,0.7971532258064515,2.6571774193548388,2.6571774193548388,10.628709677419355,0.5314354838709677,0.7971532258064515,2.6571774193548388
br,1.2149318181818183,1.2149318181818183,4.049772727272727,4.049772727272727,16.19909090909091,0.8099545454545454,1.2149318181818183,4.049772727272727
bt,0.8777,0.8777,2.925666666666667,2.925666666666667,11.702666666666667,0.5851333333333333,0.8777,2.925666666666667
bv,1.6328172413793103,1.6328172413793103,5.442724137931035,5.442724137931035,21.77089655172414,1.0885448275862069,1.6328172413793103,5.442724137931035
bz,0.8258931034482758,0.8258931034482758,2.752977011494253,2.752977011494253,11.011908045977012,0.5505954022988506,0.8258931034482758,2.752977011494253
cj,1.3378481481481481,1.3378481481481481,4.459493827160494,4.459493827160494,17.837975308641976,0.8918987654320989,1.3378481481481481,4.459493827160494
cl,0.86616,0.86616,2.8872,2.8872,11.5488,0.57744,0.86616,2.8872
cs,0.6395396103896104,0.6395396103896104,2.1317987012987016,2.1317987012987016,8.527194805194807,0.42635974025974027,0.6395396103896104,2.1317987012987016
ct,1.6504714285714286,1.6504714285714286,5.501571428571428,5.501571428571428,22.006285714285713,1.1003142857142858,1.6504714285714286,5.501571428571428
cv,0.76284,0.76284,2.5428,2.5428,10.1712,0.5085599999999999,0.76284,2.5428
db,0.891220786516854,0.891220786516854,2.9707359550561803,2.9707359550561803,11.882943820224721,0.5941471910112359,0.891220786516854,2.9707359550561803
dj,0.9470810810810811,0.9470810810810811,3.156936936936937,3.156936936936937,12.627747747747748,0.6313873873873874,0.9470810810810811,3.156936936936937
gj,0.7852049999999999,0.7852049999999999,2.6173499999999996,2.6173499999999996,10.469399999999998,0.5234700000000001,0.7852049999999999,2.6173499999999996
gl,1.45905,1.45905,4.8635,4.8635,19.454,0.9726999999999999,1.45905,4.8635
gr,0.76925,0.76925,2.564166666666667,2.564166666666667,10.256666666666668,0.5128333333333333,0.76925,2.564166666666667
hd,1.0222239130434783,1.0222239130434783,3.407413043478261,3.407413043478261,13.629652173913044,0.6814826086956522,1.0222239130434783,3.407413043478261
hr,0.7472888059701492,0.7472888059701492,2.490962686567164,2.490962686567164,9.963850746268657,0.4981925373134329,0.7472888059701492,2.490962686567164
if,1.46594625,1.46594625,4.886487499999999,4.886487499999999,19.545949999999998,0.9772975,1.46594625,4.886487499999999
il,0.6680454545454546,0.6680454545454546,2.2268181818181816,2.2268181818181816,8.907272727272726,0.44536363636363635,0.6680454545454546,2.2268181818181816
is,1.4097795918367346,1.4097795918367346,4.699265306122449,4.699265306122449,18.797061224489795,0.9398530612244897,1.4097795918367346,4.699265306122449
mh,0.6522840909090909,0.6522840909090909,2.174280303030303,2.174280303030303,8.697121212121212,0.43485606060606063,0.6522840909090909,2.174280303030303
mm,1.038546710526316,1.038546710526316,3.4618223684210525,3.4618223684210525,13.84728947368421,0.6923644736842105,1.038546710526316,3.4618223684210525
ms,0.8769882352941176,0.8769882352941176,2.9232941176470586,2.9232941176470586,11.693176470588234,0.5846588235294118,0.8769882352941176,2.9232941176470586
nt,1.0445909638554216,1.0445909638554216,3.481969879518072,3.481969879518072,13.927879518072288,0.6963939759036144,1.0445909638554216,3.481969879518072
ot,0.6031245535714286,0.6031245535714286,2.010415178571429,2.010415178571429,8.041660714285715,0.40208303571428566,0.6031245535714286,2.010415178571429
ph,1.1673951923076924,1.1673951923076924,3.8913173076923075,3.8913173076923075,15.56526923076923,0.7782634615384616,1.1673951923076924,3.8913173076923075
sb,1.08870234375,1.08870234375,3.6290078125,3.6290078125,14.51603125,0.7258015624999999,1.08870234375,3.6290078125
sj,0.6091032786885245,0.6091032786885245,2.030344262295082,2.030344262295082,8.121377049180328,0.40606885245901636,0.6091032786885245,2.030344262295082
sm,0.902166923076923,0.902166923076923,3.007223076923077,3.007223076923077,12.028892307692308,0.6014446153846154,0.902166923076923,3.007223076923077
sv,0.9800710526315789,0.9800710526315789,3.26690350877193,3.26690350877193,13.06761403508772,0.653380701754386,0.9800710526315789,3.26690350877193
tl,0.7188,0.7188,2.396,2.396,9.584,0.4792,0.7188,2.396
tm,1.1264045454545455,1.1264045454545455,3.7546818181818185,3.7546818181818185,15.018727272727274,0.7509363636363636,1.1264045454545455,3.7546818181818185
tr,0.6025824742268041,0.6025824742268041,2.0086082474226803,2.0086082474226803,8.034432989690721,0.4017216494845361,0.6025824742268041,2.0086082474226803
